herb_name	symptom	symptom_E	DB_SRC	DB_SRC_ID
一捻金	腹胀	Distention	SIDER	C0012359
一捻金	腹胀	Abdominal distension	SIDER	C0000731
一捻金	便秘	Constipation	SIDER	C0009806
一捻金	便秘	Constipation	MeSH	D003248
一捻金	喘咳	Cough	SIDER	C0010200
一捻金	喘咳	Cough	MeSH	D003371
一捻金	痰盛	Sputum purulent	SIDER	C0241235
一捻金	痰盛	Sputum	MeSH	D013183
一捻金	停食	Gastric disorder	SIDER	C0038354
一捻金	喘	Asthma	SIDER	C0004096
一捻金	喘	Asthma	MeSH	D001249
一捻金	停乳	Blood prolactin decreased	SIDER	C0853710
一捻金	积滞	Dyspepsia	MeSH	D004415
飞扬草	泄泻	Diarrhoea	SIDER	C0011991
飞扬草	泄泻	Diarrhea	MeSH	D003967
飞扬草	瘙痒	Pruritus	SIDER	C0033774
飞扬草	瘙痒	Pruritus	MeSH	D011537
飞扬草	痢疾	Dysentery	SIDER	C0013369
飞扬草	痢疾	Dysentery	MeSH	D004403
飞扬草	皮肤瘙痒	Pruritus	SIDER	C0033774
飞扬草	皮肤瘙痒	Pruritus	MeSH	D011537
飞扬草	乳痈	Carbuncle	SIDER	C0007078
飞扬草	乳痈	Carbuncle	MeSH	D002270
飞扬草	肿毒	Swelling	SIDER	C0038999
飞扬草	肿毒	Viruses	MeSH	D014780
飞扬草	产后少乳	Postpartum disorder	SIDER	C0034040
飞扬草	血尿	Frank hematuria	SIDER	C0473237
飞扬草	血尿	Haematuria	SIDER	C0018965
飞扬草	血尿	Blood urine present	SIDER	C0947999
飞扬草	血尿	Blood urine	SIDER	C0221752
飞扬草	血尿	Hematuria	MeSH	D006417
飞扬草	湿疹	Eczema	SIDER	C0013595
飞扬草	湿疹	Eczema	MeSH	D004485
飞扬草	疮肿	Skin ulcer	SIDER	C0037299
飞扬草	疮肿	Skin ulcer	MeSH	D012883
飞扬草	肺痈	Carbuncle	SIDER	C0007078
飞扬草	肺痈	Carbuncle	MeSH	D002270
北刘寄奴	腹胀	Distention	SIDER	C0012359
北刘寄奴	腹胀	Abdominal distension	SIDER	C0000731
北刘寄奴	水肿	Edema	MeSH	D004487
北刘寄奴	月经不调	Menstruation Disturbances	MeSH	D008599
北刘寄奴	经闭	Menopause	SIDER	C0025320
北刘寄奴	经闭	Menopause	MeSH	D008593
北刘寄奴	跌打损伤	Caustic injury	SIDER	C0854388
北刘寄奴	出血	Hyphaema	SIDER	C0020581
北刘寄奴	出血	Haemorrhage	SIDER	C0019080
北刘寄奴	出血	Hemorrhage	MeSH	D006470
北刘寄奴	_瘕	Neoplasm	SIDER	C0027651
北刘寄奴	血淋	Haematuria	SIDER	C0018965
北刘寄奴	血淋	Blood urine present	SIDER	C0947999
北刘寄奴	血淋	Blood urine	SIDER	C0221752
北刘寄奴	产后瘀痛	Postpartum disorder	SIDER	C0034040
半夏	头痛	Headache dull	SIDER	C0239885
半夏	头痛	Headache	SIDER	C0018681
半夏	头痛	Headache	MeSH	D006261
半夏	眩晕	Vertigo	SIDER	C0042571
半夏	眩晕	Vertigo	MeSH	D014717
半夏	痰多	Sputum purulent	SIDER	C0241235
半夏	痰多	Sputum	MeSH	D013183
半夏	咳喘	Productive cough	SIDER	C0239134
半夏	咳喘	Cough	SIDER	C0010200
半夏	咳喘	Asthma	SIDER	C0004096
半夏	咳喘	Cough	MeSH	D003371
半夏	咳喘	Asthma	MeSH	D001249
半夏	痰厥	Syncope	SIDER	C0039070
半夏	痰厥	Syncope	SIDER	C0039070
半夏	痰厥	Presyncope	SIDER	C0700200
半夏	痰厥	Syncope	MeSH	D013575
半夏	痰厥	Syncope	MeSH	D013575
半夏	喘	Asthma	SIDER	C0004096
半夏	喘	Asthma	MeSH	D001249
半夏	痰饮	Sputum	MeSH	D013183
半夏	痰厥头痛	Headache	SIDER	C0018681
半夏	痰厥头痛	Headache	MeSH	D006261
半夏	风痰眩晕	Vertigo	SIDER	C0042571
半夏	风痰眩晕	Vertigo	MeSH	D014717
半夏	风痰	Sputum	MeSH	D013183
肉桂	腹痛	Abdominal pain	SIDER	C0000737
肉桂	腹痛	Abdominal pain	MeSH	D015746
肉桂	眩晕	Vertigo	SIDER	C0042571
肉桂	眩晕	Vertigo	MeSH	D014717
肉桂	目赤	Bloodshot eye	SIDER	C0005858
肉桂	吐泻	Diarrhoea	SIDER	C0011991
肉桂	吐泻	Diarrhea	MeSH	D003967
肉桂	阳痿	Yang Deficiency	MeSH	D016711
肉桂	经闭	Menopause	SIDER	C0025320
肉桂	经闭	Menopause	MeSH	D008593
肉桂	痛经	Dysmenorrhoea	SIDER	C0013390
肉桂	痛经	Dysmenorrhea	MeSH	D004412
肉桂	冷痛	Pain	SIDER	C0030193
肉桂	冷痛	Ache	SIDER	C0234238
肉桂	冷痛	Pain	MeSH	D010146
肉桂	虚寒	Typhoid fever	SIDER	C0041466
肉桂	虚寒	Asthenia	SIDER	C0004093
肉桂	虚寒	Asthenia	SIDER	C0004093
肉桂	虚寒	Typhoid fever	MeSH	D014435
肉桂	虚寒	Asthenia	MeSH	D001247
肉桂	虚寒	Asthenia	MeSH	D001247
肉桂	喘	Asthma	SIDER	C0004096
肉桂	喘	Asthma	MeSH	D001249
肉桂	腰膝冷痛	Low back pain	SIDER	C0024031
