herb	symptoms
陈皮	纳略增,3.65442421016	偶口干口苦,3.65442421016	代诉：病情平稳,3.65442421016	微畏寒,3.65442421016	胃脘胃寒,3.65442421016	舌下脉络瘀曲,3.65442421016	腹部畏寒略减,3.65442421016	泛吐白沫,3.65442421016	舌体瘦,3.65442421016	口粘减轻,3.65442421016	头晕减轻,3.65442421016	舌燥,3.65442421016	舌淡紫暗胖,3.65442421016	咽部有异物感,3.65442421016	脑鸣,3.65442421016	胃脘部下坠感,3.65442421016	苔浊腻,3.65442421016	舌干,3.65442421016	前部苔少,3.65442421016	进食后偶嗳气,3.65442421016	小便热,3.65442421016	面部痤疮多,3.65442421016	打鼾,3.65442421016	吞咽困难,3.65442421016	排气少,3.65442421016	不能多食,3.62844872376	反食,3.62702523597	偶呕吐,3.61186459574	受凉加重,3.60997244759	食后嗳气,3.60997244759	腹部畏寒明显,3.60790419452	舌淡边有齿痕,3.60790419452	泻后则安,3.60563404599	嘈杂,3.59726579632	大便有时干,3.59726579632	嗳气减少,3.59379958834	胃胀明显好转,3.59190385318	进食后嗳气,3.58988568902	家族史否认,3.58988568902	舌暗淡胖,3.58773283566	矢气减少,3.58543133867	大便粘好转,3.58543133867	苔黄白腻,3.58031623801	有瘀点,3.58031623801	纳稍增,3.58031623801	反酸偶作,3.58031623801	上腹胀满,3.57746316902	质不干,3.57746316902	下肢疼痛,3.57438150249	膝关节畏寒,3.57438150249	得嗳气矢气则舒,3.57438150249	食欲差,3.57438150249	偶咳痰,3.57438150249	舌质红,3.57438150249	胃中沥沥在声,3.57438150249	晨起口臭,3.57438150249	大便时干,3.57438150249	偶干咳,3.57438150249	两胁痛,3.56741283317	口干苦,3.56741283317	耳鸣减轻,3.56741283317	腹泻减轻,3.55911403035	自觉上火,3.55911403035	睡眠偏差,3.55911403035	嗳气偶作,3.55911403035	心悸减轻,3.55911403035	反酸减少,3.55911403035	口干明显,3.55911403035	大便渐成形,3.55911403035	气上逆感,3.55598413735	脉滑数,3.55598413735	大便欠畅,3.5543407516	口腔异味减轻,3.5543407516	嗳气频作,3.55332809329	喜温喜按,3.5490636945	背痛减轻,3.5490636945	小腹胀满,3.5490636945	睡眠质量好转,3.5490636945	苔根部腻,3.5490636945	口粘好转,3.5490636945	胃脘及背部畏寒,3.5490636945	脐周隐痛,3.5490636945	偶胸痛,3.5490636945	口苦好转,3.5490636945	体胖,3.5490636945	仍有嗳气,3.5490636945	夜尿3次,3.5490636945	肠鸣减轻,3.5490636945	上腹胀,3.5490636945	有时偏干,3.5490636945	咽痛好转,3.5490636945	大便偶不成形,3.5490636945	舌淡暗略胖,3.5490636945	胃脘畏寒减轻,3.54621062552	大便不成形,3.54319857505	时有口苦,3.54109552485	畏脘畏寒,3.53379622237	基本成形,3.53182188807	得嗳气则舒,3.53081025419	纳眠差,3.52926106721	

柴胡	微畏寒,3.68062924408	略黄,3.68062924408	腹部畏寒略减,3.68062924408	反复胃胀,3.68062924408	舌体瘦,3.68062924408	口粘好转,3.68062924408	下肢疼痛,3.68062924408	烘热汗出,3.68062924408	两胁疼痛,3.68062924408	出汗多,3.68062924408	心悸减轻,3.68062924408	得矢气则舒,3.68062924408	双下肢凉,3.68062924408	稍感恶心,3.68062924408	脉左沉右弦,3.68062924408	口干不欲饮,3.68062924408	偶头痛,3.68062924408	口腔异味减轻,3.63183907991	偶右胁痛,3.61609072294	乳房胀痛,3.61393786958	生气后加重,3.60652127192	腹部喜温,3.60652127192	易怒,3.60652127192	吞咽困难,3.60652127192	膝关节畏寒,3.6005865364	得嗳气矢气则舒,3.6005865364	舌淡紫暗胖,3.6005865364	胃脘部畏寒,3.59361786709	胃脘部下坠感,3.59361786709	小便热,3.59361786709	午后明显,3.59361786709	时有右胁痛,3.59361786709	口干口苦减轻,3.59101708539	左上腹疼痛,3.58531906427	偶耳鸣,3.58531906427	呈绞痛,3.58531906427	查胃镜示慢性胃炎,3.58531906427	大便偶干,3.58531906427	饮食不慎则胃胀,3.58531906427	背痛好转,3.57526872842	小腹胀满,3.57526872842	胃脘胃寒,3.57526872842	睡眠质量好转,3.57526872842	苔根部腻,3.57526872842	口酸,3.57526872842	脑鸣,3.57526872842	睡眠时好时差,3.57526872842	伴嗳气,3.57526872842	胸骨后灼热感,3.57241565944	上腹胀满,3.56284620842	手足凉好转,3.56284620842	瘙痒,3.56284620842	右胁痛,3.55802692199	进食后明显,3.55701528811	食欲不振,3.55546610112	夜间明显,3.55546610112	时有反酸,3.55095142077	气喘,3.54709785145	舌暗淡,3.54709785145	健忘,3.54709785145	大便不规律,3.5424789056	小腹胀,3.5408673017	矢气减少,3.53752840044	上腹胀,3.53752840044	大便调,3.53752840044	舌淡边有齿痕,3.53402576989	食后明显,3.53402576989	舌木,3.53402576989	四肢凉,3.53402576989	大便少,3.53034704103	形体消瘦,3.52980635434	纳略增,3.52647856425	苔黄白腻,3.52647856425	依赖泻药,3.52647856425	小便少,3.52647856425	腹部畏寒喜暖,3.52647856425	脉,3.52647856425	纳时好时差,3.52647856425	大便有时偏干,3.52156454945	食后加重,3.51811031458	舌苔根部厚,3.51357515941	不喜进食生冷,3.51357515941	右上腹不适,3.51357515941	苔浊腻,3.51357515941	前部苔少,3.51357515941	盗汗,3.51073020728	右胁疼痛,3.50877898715	矢气多,3.50778643124	嗳气不畅,3.5058265197	右上腹疼痛,3.50542515505	右胁胀,3.50473857761	得嗳气则舒,3.50294806684	有软裂,3.50238101267	食后胃胀,3.50083613364	有便不尽感,3.49830768728	胸闷减轻,3.49830768728	两胁痛,3.49830768728	不干,3.49830768728	大便有时干,3.49830768728	依赖镇静药,3.49830768728	

蜜甘草	小便次数多,3.70992102424	小腹畏寒,3.70992102424	腹部畏寒略减,3.70992102424	舌体瘦,3.70992102424	口酸,3.70992102424	偶耳鸣,3.70992102424	出汗多,3.70992102424	胃脘部下坠感,3.70992102424	纳稍增,3.70992102424	晨起反酸,3.70992102424	咳黄痰,3.70992102424	手足凉好转,3.70992102424	舌质红,3.70992102424	脉左沉右弦,3.70992102424	微感口苦,3.70992102424	小便热,3.70992102424	查胃镜示慢性胃炎,3.70992102424	打鼾,3.70992102424	呈隐痛,3.70992102424	偶咳痰,3.67070031109	手足热,3.66113086007	脑鸣,3.65862772985	肠鸣减轻,3.65862772985	脘腹畏寒,3.64929640242	矢气减少,3.64092815275	纳略增,3.63581305209	有瘀点,3.63581305209	下肢疼痛,3.62987831657	略黄,3.62290964725	苔中根部黄,3.62290964725	时有口干口苦,3.62290964725	微畏寒,3.61461084443	呈绞痛,3.61461084443	反酸减少,3.61461084443	腹痛减轻,3.61461084443	鼻燥,3.61461084443	睡眠多,3.61461084443	大便渐成形,3.61461084443	背痛好转,3.60456050858	胃脘胃寒,3.60456050858	睡眠质量好转,3.60456050858	苔根部腻,3.60456050858	两胁疼痛,3.60456050858	反复发作,3.60456050858	稍感恶心,3.60456050858	大便有时秘结,3.60456050858	舌淡暗略胖,3.60456050858	偶有胃脘隐痛,3.60456050858	面色萎黄,3.59213798858	背部不适,3.57638963161	乳房胀痛,3.57177068576	大便不成形,3.56884242598	正值经期,3.5668201806	动则汗出,3.5668201806	畏脘畏寒,3.56331755005	进食后加重,3.55577034441	脘腹胀满,3.54957837416	质不干,3.54957837416	否认过敏史,3.54957837416	以流食为主,3.54286693958	不喜进食生冷,3.54286693958	右上腹不适,3.54286693958	得嗳气矢气则舒,3.54286693958	食欲差,3.54286693958	四肢冷,3.54286693958	不喜食冷,3.54145650211	中有裂纹,3.54050287228	质干,3.54002198744	多梦,3.53856277224	部位不固定,3.53807076731	牙龈出血,3.53807076731	矢气多,3.5370782114	大便少,3.532239847	脉细弦,3.52759946744	咽部有异物感,3.52759946744	下腹胀,3.52759946744	耳鸣减轻,3.52759946744	隐痛,3.52759946744	小腹胀,3.51886578748	全身关节疼痛,3.5157650098	得矢气则舒,3.5157650098	咽部堵闷感,3.5157650098	腹部畏寒减轻,3.51461227192	时有口苦,3.51321072999	左上腹疼痛,3.50925032878	腹泻减轻,3.50925032878	记忆力下降,3.50925032878	自觉上火,3.50925032878	烘热汗出,3.50925032878	舌燥,3.50925032878	食后明显,3.50925032878	受凉易作,3.50925032878	心下悸动,3.50925032878	大便溏,3.50925032878	有软裂,3.50698018024	睡眠不实,3.50512661159	时有呕吐,3.50228165946	健忘,3.50228165946	基本成形,3.49634692394	嗳气减少,3.49166745822	

枳实	喜温喜按,3.77324161518	胃脘隐痛减轻,3.77324161518	气上逆感,3.77324161518	腹部畏寒略减,3.77324161518	舌体瘦,3.77324161518	口粘好转,3.77324161518	口酸,3.77324161518	舌淡边有齿痕,3.77324161518	脑鸣,3.77324161518	胃脘部下坠感,3.77324161518	反酸减少,3.77324161518	口腔异味减轻,3.77324161518	小便热,3.77324161518	口干不欲饮,3.77324161518	伴嗳气,3.77324161518	排气少,3.77324161518	泛吐白沫,3.72672159954	得矢气则舒,3.71261699336	咽部堵闷感,3.71261699336	偶胸闷,3.70870309404	上腹胀,3.70424874369	仍感胃胀,3.69913364302	头晕减轻,3.69913364302	按之觉痛,3.69913364302	上腹胀满,3.69628057404	排气不畅,3.6931989075	口粘减轻,3.6931989075	下肢疼痛,3.6931989075	胃中沥沥在声,3.6931989075	下腹胀,3.68623023819	耳鸣减轻,3.68623023819	微感口苦,3.68623023819	长期依赖泻药,3.68623023819	午后明显,3.68623023819	微畏寒,3.67793143537	嗳气偶作,3.67793143537	心悸减轻,3.67793143537	查胃镜示慢性胃炎,3.67793143537	心下悸动,3.67793143537	大便渐成形,3.67793143537	进食后明显,3.67560314561	嗳气减少,3.67005737894	背部畏寒,3.66788109952	食后腹胀,3.66788109952	反复胃胀,3.66788109952	苔根部腻,3.66788109952	两胁疼痛,3.66788109952	睡眠时好时差,3.66788109952	体胖,3.66788109952	左沉细,3.66788109952	咽痛好转,3.66788109952	大便困难,3.65991292987	质不干,3.65545857952	胸骨后烧灼感,3.65545857952	胃脘部气上逆感,3.64918896651	脘腹畏寒,3.64807847222	痞满,3.64792648499	大便黑,3.63971022255	偶右胁痛,3.63971022255	食后胃胀,3.63790026731	胸骨后灼热感,3.63604049366	口干咽燥,3.6334796728	受凉加重,3.6334796728	矢气减少,3.63014077154	进食后加重,3.61909093535	进食生冷加重,3.61909093535	胁痛,3.61909093535	大便干结,3.61909093535	便秘,3.61028030567	胃胀,3.60694196284	胃脘畏寒减轻,3.60618753051	得嗳气矢气则舒,3.60618753051	受凉后加重,3.60618753051	剑突下偏右侧疼痛,3.60618753051	矢气,3.60334257838	畏脘畏寒,3.5999698939	偶胃胀,3.59631090702	反食,3.59631090702	时有胃胀,3.59578624803	大便量少,3.59556043794	吞咽食物时梗噎不畅,3.59092005838	舌淡红胖,3.59092005838	大便干燥,3.59092005838	咽部有异物感,3.59092005838	脉弱,3.59092005838	依赖镇静药,3.59092005838	心烦易怒,3.59092005838	便秘好转,3.58399961554	嗳气频作,3.58319801229	舌暗淡,3.58086972253	时有反酸,3.58005038615	大便有时偏干,3.57908560074	脉弦数,3.57653132093	胃中沥沥有声,3.57653132093	小便少,3.57653132093	大便干好转,3.57653132093	嗳气不畅,3.57571063972	大便不尽感,3.57541587185	进食后胃胀,3.57439075643	伴心悸,3.57257091972	

茯苓	腹胀不明显,3.78877226269	时干时稀,3.78877226269	苔灰腻,3.78877226269	乏力明显好转,3.78877226269	舌淡红胖,3.78877226269	食后腹胀,3.78877226269	腹泻减轻,3.78877226269	大便仍不成形,3.78877226269	口粘好转,3.78877226269	膝关节疼痛,3.78877226269	手足凉好转,3.78877226269	水样便,3.78877226269	微感口苦,3.78877226269	进食后偶嗳气,3.78877226269	打鼾,3.78877226269	大便渐成形,3.78877226269	腹泻好转,3.75103193471	腹部微畏寒,3.73470504142	饮食不慎则腹泻,3.71731329871	有瘀点,3.71466429054	腹部畏寒喜暖,3.71466429054	舌质红,3.70872955502	腹部畏寒好转,3.7017608857	依赖镇静药,3.7017608857	目胀,3.7017608857	口干咽燥,3.69780048448	小便次数多,3.69346208289	睡眠略好转,3.69346208289	有时成形有时不成形,3.69346208289	舌质暗红,3.68341174703	大便较前成形,3.68341174703	小腹胀满,3.68341174703	大便偶不成形,3.68341174703	舌淡暗略胖,3.68341174703	双下肢肿减轻,3.68341174703	反复腹泻,3.67754662758	大便不成形,3.67754662758	脉沉细数,3.67098922703	口干好转,3.67098922703	矢气,3.65524087007	舌暗淡胖,3.65062192421	反酸好转,3.64567141905	色黄,3.64567141905	夹未消化物,3.64567141905	舌淡边有齿痕,3.6421687885	泻前腹痛,3.64035225757	泻后则安,3.63462158286	大便不成形好转,3.62842961261	舌暗淡,3.62625333319	偶咳痰,3.62171817803	受凉后加重,3.62171817803	咽干咽痛,3.62171817803	时有腰痛,3.62171817803	脐周腹痛,3.61441887555	腹泻,3.61376335274	苔中根部黄,3.6064507059	偶肠鸣,3.6064507059	咽部有异物感,3.6064507059	胃脘畏寒明显,3.6064507059	瘙痒,3.6064507059	大便中夹有未消化物,3.60072003119	大便基本成形,3.59771702593	苔中根部黄腻,3.59640037004	牙痛,3.59461624825	脘腹畏寒,3.59461624825	苔黄白腻,3.59206196844	腹部畏寒明显,3.58810156723	苔局部花剥,3.58810156723	烘热汗出,3.58810156723	痰多,3.58810156723	鼻燥,3.58810156723	白带多,3.58810156723	右侧腹胀,3.58810156723	倦怠乏力,3.58810156723	大便溏,3.58810156723	四肢凉,3.58810156723	大便有时不成形,3.58583141869	消瘦,3.58113289791	时时欲便,3.58113289791	面部烘热,3.58113289791	偶口苦,3.57746316902	基本成形,3.57519816239	咽部异物感减轻,3.57366088307	小腹畏寒,3.56562871138	苔黄略腻,3.56562871138	正值经期,3.56562871138	睡眠质量好转,3.56562871138	背部畏寒,3.56562871138	偶胸痛,3.56562871138	口苦好转,3.56562871138	反复发作,3.56562871138	稍感恶心,3.56562871138	夜尿3次,3.56562871138	牙龈肿痛,3.56562871138	口渴,3.56562871138	腰部不适,3.56562871138	夹血块,3.56562871138	大便有时秘结,3.56562871138	大便次数多,3.55697064863	受凉易腹泻,3.55697064863	

枳壳	喜温喜按,3.82859859435	胃脘胀满,3.82859859435	腹部畏寒略减,3.82859859435	舌体瘦,3.82859859435	口粘好转,3.82859859435	口酸,3.82859859435	舌淡边有齿痕,3.82859859435	得嗳气矢气则舒,3.82859859435	咽部有异物感,3.82859859435	出汗多,3.82859859435	胃脘部下坠感,3.82859859435	胃中沥沥在声,3.82859859435	小便热,3.82859859435	伴嗳气,3.82859859435	饮食不慎则胃胀,3.82859859435	排气少,3.82859859435	泛吐白沫,3.78207857871	脑鸣,3.77730529996	咽部堵闷感,3.76797397253	气上逆感,3.76406007321	上腹胀,3.75960572286	仍感胃胀,3.7544906222	下肢疼痛,3.74855588668	胃脘隐痛减轻,3.73328841455	微畏寒,3.73328841455	心下悸动,3.73328841455	偶胸骨后疼痛,3.73328841455	大便渐成形,3.73328841455	口腔异味减轻,3.72851513579	偶口干口苦,3.72323807869	睡眠质量好转,3.72323807869	反复胃胀,3.72323807869	苔根部腻,3.72323807869	胃脘及背部畏寒,3.72323807869	脐周隐痛,3.72323807869	仍有嗳气,3.72323807869	左沉细,3.72323807869	脉左沉细,3.72323807869	有时偏干,3.72323807869	不能多食,3.72038500971	痞满,3.71612061092	上腹胀满,3.71081555869	嘈杂,3.71081555869	大便好转,3.70076522284	胸骨后烧灼感,3.69506720173	受凉加重,3.68883665197	四肢凉,3.68199512016	进食后明显,3.6783163913	PG,3.67444791452	纳稍增,3.67444791452	胃胀,3.67117211469	苔略黄,3.66953389972	食后加重,3.66607966485	得嗳气则舒,3.66471073924	胃胀明显好转,3.66429554306	嗳气好转,3.66429554306	食后胃胀,3.66384336127	晨起口臭,3.66154450969	时有胃胀,3.65114322721	嗳气减轻,3.65035036294	进食后胃胀,3.6495503629	吞咽食物时梗噎不畅,3.64627703756	胸闷减轻,3.64627703756	略黄,3.64627703756	口干苦,3.64627703756	排出畅,3.64627703756	午后明显,3.64627703756	心烦易怒,3.64627703756	胃脘部气上逆感,3.64627703756	小腹胀,3.63754335759	胃中沥沥有声,3.6318883001	大便困难,3.6318883001	糖尿病饮食,3.6318883001	大便不尽感,3.63077285102	胸骨后灼热感,3.63077285102	睡眠略好转,3.62792789889	排不尽感,3.62792789889	色黑,3.62792789889	偶耳鸣,3.62792789889	嗳气明显好转,3.62792789889	眠时好时差,3.62792789889	嗳气偶作,3.62792789889	反酸减少,3.62792789889	咽部充血,3.62792789889	查胃镜示慢性胃炎,3.62792789889	有软裂,3.62565775035	大便不成形,3.62499963911	口干好转,3.6238041817	食欲欠佳,3.62198434499	进食后胃脘不适,3.62095922957	家族史否认,3.62095922957	胃脘畏寒,3.61981046437	烘热,3.61728950068	偶口苦,3.61728950068	食后难消,3.61192755754	时有嗳气,3.6108751105	胸骨后不适,3.60954502829	有齿痕,3.60545504304	胃寒,3.60545504304	背痛减轻,3.60545504304	
